Output,Actual,Expected
0.0167196,1,1
0.00327057,1,1
0.00281805,1,1
0.00380874,1,1
0.12157,1,1
0.00317874,1,1
0.0112543,1,1
0.00281972,1,1
0.0516851,1,1
0.025868,1,1
0.0300056,1,1
0.0243395,1,1
0.00313292,1,1
0.00358564,1,1
0.0062955,1,1
0.00824426,1,1
0.101448,1,1
0.0307819,1,1
0.00439544,1,1
0.00744626,1,1
0.035734,1,1
0.00406664,1,1
0.0197634,1,1
0.00417003,1,1
0.105994,1,1
0.00275827,1,1
0.00313032,1,1
0.00783903,1,1
0.00458478,1,1
0.00215901,1,1
0.0050112,1,1
0.0516243,1,1
0.00333351,1,1
0.00746016,1,1
0.056306,1,1
0.00627377,1,1
0.00291857,1,1
0.0625846,1,1
0.00362774,1,1
0.00321771,1,1
0.00646585,1,1
0.0188843,1,1
0.024329,1,1
0.0231371,1,1
0.0039942,1,1
0.0190613,1,1
0.0895973,1,1
0.0202764,1,1
0.00550329,1,1
0.0395995,1,1
0.00263056,1,1
0.0481533,1,1
0.0193827,1,1
0.0221023,1,1
0.0127816,1,1
0.00350724,1,1
0.0260989,1,1
0.0259757,1,1
0.00509352,1,1
0.00392437,1,1
0.0541533,1,1
0.00282018,1,1
0.0247583,1,1
0.0142388,1,1
0.00804893,1,1
0.00365338,1,1
0.0719927,1,1
0.0142322,1,1
0.00251655,1,1
0.00419372,1,1
0.0221025,1,1
0.0404732,1,1
0.0211064,1,1
0.056796,1,1
0.00356298,1,1
0.0185503,1,1
0.0413808,1,1
0.00318527,1,1
0.0550785,1,1
0.00311358,1,1
0.0164684,1,1
0.734487,0,0
0.587923,0,0
0.62806,0,0
0.60398,0,0
0.599014,0,0
0.810912,0,0
0.664311,0,0
0.5949,0,0
0.705848,0,0
0.606694,0,0
0.67238,0,0
0.484319,1,0
0.694528,0,0
0.568287,0,0
0.731879,0,0
0.567717,0,0
0.679808,0,0
0.69286,0,0
0.643944,0,0
0.658872,0,0
0.732374,0,0
0.722498,0,0
0.648963,0,0
0.489817,1,0
0.569734,0,0
0.729299,0,0
0.643591,0,0
0.497164,1,0
0.577535,0,0
0.664294,0,0
0.593119,0,0
0.699433,0,0
0.802563,0,0
0.579777,0,0
0.505119,0,0
0.667017,0,0
0.643963,0,0
0.579693,0,0
0.754409,0,0
0.776318,0,0
0.770464,0,0
0.612308,0,0
0.625341,0,0
0.565339,0,0
0.645918,0,0
0.644492,0,0
0.692625,0,0
0.675751,0,0
0.699376,0,0
0.704599,0,0
0.613077,0,0
0.607774,0,0
0.757926,0,0
0.802375,0,0
0.491164,1,0
0.672949,0,0
0.627233,0,0
0.441172,1,0
0.637297,0,0
0.585902,0,0
0.654072,0,0
0.750489,0,0
0.645233,0,0
0.594221,0,0
0.741492,0,0
0.785269,0,0
0.548541,0,0
0.781162,0,0
0.786229,0,0
0.666591,0,0
0.616131,0,0
0.544313,0,0
0.679258,0,0
0.597765,0,0
0.618649,0,0
0.623873,0,0
0.681593,0,0
0.754759,0,0
0.693588,0,0
0.647382,0,0
0.625968,0,0
0.811635,0,0
0.822587,0,0
0.461687,1,0
0.684026,0,0
0.640709,0,0
0.801032,0,0
0.615431,0,0
0.634166,0,0
0.437003,1,0
0.59361,0,0
0.66057,0,0
0.460182,1,0
0.526458,0,0
0.680556,0,0
0.55816,0,0
0.406915,1,0
0.650976,0,0
0.619725,0,0
0.655216,0,0
0.620559,0,0
0.758998,0,0
0.719716,0,0
0.652986,0,0
0.667296,0,0
0.712345,0,0
0.609167,0,0
0.679512,0,0
0.79056,0,0
0.616927,0,0
0.632051,0,0
0.660734,0,0
0.833726,0,0
0.755873,0,0
0.573832,0,0
0.711781,0,0
0.786435,0,0
0.59351,0,0
0.555905,0,0
0.785783,0,0
0.743889,0,0
0.52624,0,0
0.709922,0,0
0.687326,0,0
0.688587,0,0
0.58492,0,0
0.724222,0,0
0.676891,0,0
0.633674,0,0
0.584192,0,0
0.733354,0,0
0.708789,0,0
0.623029,0,0
0.418233,1,0
0.659895,0,0
0.725572,0,0
0.747183,0,0
0.686727,0,0
0.734612,0,0
0.665347,0,0
0.697319,0,0
0.670505,0,0
0.786063,0,0
0.793746,0,0
0.63606,0,0
0.632746,0,0
0.614008,0,0
0.420807,1,0
0.685121,0,0
0.725425,0,0
0.666368,0,0
0.570663,0,0
0.762528,0,0
0.579412,0,0
0.597472,0,0
0.756259,0,0
0.555799,0,0
0.565565,0,0
0.692492,0,0
0.721965,0,0
0.536195,0,0
0.71895,0,0
0.549419,0,0
0.82839,0,0
0.763664,0,0
0.496637,1,0
0.773666,0,0
0.64843,0,0
0.559449,0,0
0.620679,0,0
0.613025,0,0
0.790887,0,0
0.535533,0,0
0.565491,0,0
0.636191,0,0
0.543875,0,0
0.816726,0,0
0.703448,0,0
0.794406,0,0
0.615296,0,0
0.610823,0,0
0.765671,0,0
0.733161,0,0
0.733458,0,0
0.691452,0,0
0.563996,0,0
0.595934,0,0
0.468866,1,0
0.66962,0,0
0.80644,0,0
0.705174,0,0
0.659002,0,0
0.615408,0,0
0.576249,0,0
0.620677,0,0
0.709087,0,0
0.608706,0,0
0.735209,0,0
0.696101,0,0
0.560555,0,0
0.555105,0,0
0.599392,0,0
0.501884,0,0
0.699004,0,0
0.560433,0,0
0.643316,0,0
0.534831,0,0
0.648624,0,0
0.786116,0,0
0.593216,0,0
0.782112,0,0
0.702349,0,0
0.706302,0,0
0.510856,0,0
0.691413,0,0
0.816414,0,0
0.731445,0,0
0.611848,0,0
0.632212,0,0
0.584502,0,0
0.695672,0,0
0.768687,0,0
0.554807,0,0
0.824562,0,0
0.648631,0,0
0.754157,0,0
0.604398,0,0
0.709767,0,0
0.674702,0,0
0.557453,0,0
0.742509,0,0
0.689665,0,0
0.686835,0,0
0.832197,0,0
0.725314,0,0
0.591041,0,0
0.610983,0,0
0.507358,0,0
0.556016,0,0
0.652711,0,0
0.445985,1,0
0.624264,0,0
0.697464,0,0
0.761886,0,0
0.589696,0,0
0.687447,0,0
0.665127,0,0
0.73591,0,0
0.00620083,1,1
0.0411339,1,1
0.0116089,1,1
0.0226953,1,1
0.00986829,1,1
0.0179142,1,1
0.0130714,1,1
0.0176718,1,1
0.00373458,1,1
0.0218019,1,1
0.0422835,1,1
0.047638,1,1
0.0137802,1,1
0.00652183,1,1
0.00640749,1,1
0.00310232,1,1
0.0024881,1,1
0.0077548,1,1
0.0239212,1,1
0.0196522,1,1
0.0126199,1,1
0.00309773,1,1
0.0110641,1,1
0.00671751,1,1
0.00379056,1,1
0.00706521,1,1
0.00422547,1,1
0.00327667,1,1
0.010527,1,1
0.00392768,1,1
0.117383,1,1
0.00550196,1,1
0.00824446,1,1
0.0109398,1,1
0.00514771,1,1
0.0311616,1,1
0.00343195,1,1
0.0156175,1,1
0.0277795,1,1
0.0034606,1,1
0.0399934,1,1
0.00642594,1,1
0.0225303,1,1
0.0043414,1,1
0.00895584,1,1
0.0369951,1,1
0.0150367,1,1
0.00307255,1,1
0.0196874,1,1
0.0120193,1,1
0.0697712,1,1
0.00489647,1,1
0.0200751,1,1
0.00394508,1,1
0.0100048,1,1
0.015006,1,1
0.0118267,1,1
0.0128098,1,1
0.0572245,1,1
0.013738,1,1
0.00202912,1,1
0.0169763,1,1
0.010393,1,1
0.0110804,1,1
0.0288178,1,1
0.024687,1,1
0.0133558,1,1
0.0410673,1,1
0.00810905,1,1
0.0136044,1,1
0.0098151,1,1
0.00954166,1,1
0.00667075,1,1
0.0367681,1,1
0.00343948,1,1
0.0109628,1,1
0.022964,1,1
0.00503861,1,1
0.00774612,1,1
0.0264619,1,1
0.0240729,1,1
0.00489292,1,1
0.00249233,1,1
0.0324948,1,1
0.0470933,1,1
0.0228834,1,1
0.00839383,1,1
0.021017,1,1
0.010533,1,1
0.0118219,1,1
0.0152979,1,1
0.00931856,1,1
0.00225439,1,1
0.00493447,1,1
0.00635419,1,1
0.0337545,1,1
0.0125828,1,1
0.0143344,1,1
0.00896684,1,1
0.0122901,1,1
0.00874604,1,1
0.0216709,1,1
0.0365729,1,1
0.0099246,1,1
0.0381552,1,1
